name,score_rank,popularity_rank,members,year,season,episodes,studio,source,genres,score,ave_main_cast_favorites
Love Live! School Idol Project,#1885,#403,382294,2013,winter,13.0,Sunrise,Other,"['Music', 'Slice of Life', 'School']",7.42,1292.111111111111
Tamako Market,#2014,#476,333962,2013,winter,12.0,Kyoto Animation,Original,"['Slice of Life', 'Comedy']",7.38,234.66666666666663
Kotoura-san,#2856,#560,286520,2013,winter,12.0,AIC Classic,4-koma manga,"['Comedy', 'Drama', 'Romance', 'School']",7.2,21697.6
Amnesia,#8319,#642,255738,2013,winter,12.0,Brain's Base,Visual novel,"['Harem', 'Mystery', 'Romance', 'Fantasy']",6.04,3311.8571428571427
Chihayafuru 2,#151,#850,196827,2013,winter,25.0,Madhouse,Manga,"['Drama', 'Game', 'Josei', 'School', 'Slice of Life', 'Sports']",8.41,27695.33333333333
GJ-bu,#2231,#1078,153644,2013,winter,12.0,Doga Kobo,Light novel,"['Comedy', 'School', 'Slice of Life']",7.33,4351.5
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,#1599,#1296,125713,2013,winter,12.0,Manglobe,Original,"['Action', 'Super Power', 'Supernatural', 'Shounen']",7.51,17264.666666666668
Senran Kagura,#7021,#1379,114889,2013,winter,12.0,Artland,Game,"['Action', 'Comedy', 'Ecchi', 'School']",6.31,2478.2
Senyuu.,#2248,#1467,105113,2013,winter,13.0,Ordet,Web manga,"['Action', 'Comedy', 'Parody', 'Fantasy', 'Shounen']",7.33,19274.0
Hakkenden: Touhou Hakken Ibun,#1880,#1526,101254,2013,winter,13.0,Studio Deen,Manga,"['Action', 'Demons', 'Supernatural', 'Fantasy', 'Shoujo']",7.42,8891.333333333334
Cuticle Tantei Inaba,#2465,#1680,89218,2013,winter,12.0,Zexcs,Manga,"['Action', 'Mystery', 'Comedy', 'Supernatural', 'Shounen']",7.28,5742.8
Sasami-san@Ganbaranai,#5083,#1876,75767,2013,winter,12.0,Shaft,Light novel,"['Comedy', 'Romance', 'Supernatural']",6.68,21968.4
Yama no Susume,#4440,#2065,64733,2013,winter,12.0,8bit,Manga,"['Adventure', 'Slice of Life', 'Comedy']",6.82,4871.75
Vividred Operation,#6225,#2154,61370,2013,winter,12.0,A-1 Pictures,Original,"['Action', 'Sci-Fi', 'Ecchi']",6.46,5251.6
